Date, SPDR S&P 500 ETF Trust - Price    ,High,Low,Open, SPDR S&P 500 ETF Trust - RSI (14)    ,
"04/19/2022","443.29","444.28","437.68","437.86","49.90",
"04/18/2022","437.97","439.75","435.61","436.81","44.62",
"04/15/2022","437.79","444.73","437.68","443.55","44.44",
"04/14/2022","437.79","444.73","437.68","443.55","44.44",
"04/13/2022","443.31","444.11","437.84","438.03","48.71",
"04/12/2022","438.29","445.75","436.65","443.08","44.18",
"04/11/2022","439.92","445.00","439.39","444.11","45.39",
"04/08/2022","447.57","450.63","445.94","447.97","51.53",
"04/07/2022","448.77","450.69","443.53","445.59","52.57",
"04/06/2022","446.52","448.93","443.47","446.89","50.85",
"04/05/2022","451.03","457.83","449.82","455.22","54.53",
"04/04/2022","456.80","456.91","452.26","453.13","59.67",
"04/01/2022","452.92","453.46","449.14","453.31","57.15",
"03/31/2022","451.64","458.76","451.16","457.89","56.31",
"03/30/2022","458.70","461.20","456.47","460.34","62.56",
"03/29/2022","461.55","462.07","457.18","460.02","65.28",
"03/28/2022","455.91","455.91","450.06","452.06","62.27",
"03/25/2022","452.69","452.98","448.43","451.16","60.45",
"03/24/2022","450.49","450.50","444.76","445.94","59.20",
"03/23/2022","443.80","448.49","443.71","446.91","55.22",
"03/22/2022","449.59","450.58","445.86","445.86","59.92",
"03/21/2022","444.39","446.46","440.68","444.34","56.86",
"03/18/2022","444.52","444.86","437.22","438.00","56.96",
"03/17/2022","441.07","441.07","433.19","433.59","54.98",
"03/16/2022","435.62","435.68","424.80","429.89","51.74",
"03/15/2022","426.17","426.84","418.42","419.77","45.40",
"03/14/2022","417.00","424.55","415.79","420.89","38.07",
"03/11/2022","420.07","428.77","419.53","428.12","39.72",
"03/10/2022","425.48","426.43","420.44","422.52","42.77",
"03/09/2022","427.41","429.51","422.82","425.14","43.89",
"03/08/2022","416.25","427.21","415.12","419.62","34.75",
"03/07/2022","419.43","432.30","419.36","431.55","36.31",
"03/04/2022","432.17","433.37","427.88","431.75","43.62",
"03/03/2022","435.71","441.11","433.80","440.47","46.01",
"03/02/2022","437.89","439.72","431.57","432.37","47.50",
"03/01/2022","429.98","437.17","427.11","435.04","41.08",
"02/28/2022","436.63","438.20","430.70","432.03","45.42",
"02/25/2022","437.75","437.84","427.86","429.61","46.18",
"02/24/2022","428.30","428.76","410.64","411.02","38.03",
"02/23/2022","421.95","433.26","421.35","432.66","31.57",
"02/22/2022","429.57","435.50","425.86","431.89","35.72",
"02/21/2022","434.23","438.66","431.82","437.33","38.60",
"02/18/2022","434.23","438.66","431.82","437.33","38.60",
"02/17/2022","437.06","446.57","436.42","443.22","40.31",
"02/16/2022","446.60","448.06","441.94","443.93","46.76",
"02/15/2022","446.10","446.28","443.18","443.73","46.35",
"02/14/2022","439.02","441.60","435.34","439.92","40.16",
"02/11/2022","440.46","451.61","438.94","449.41","41.06",
"02/10/2022","449.32","457.71","447.20","451.34","47.03",
"02/09/2022","457.54","457.88","455.01","455.22","53.78",
"02/08/2022","450.94","451.92","445.22","446.73","48.25",
"02/07/2022","447.26","450.99","445.85","449.51","44.83",
"02/04/2022","448.70","452.78","443.83","446.35","45.93",
"02/03/2022","446.60","452.97","445.71","450.95","44.06",
"02/02/2022","457.35","458.12","453.05","455.50","52.70",
"02/01/2022","452.95","453.63","446.94","450.68","48.89",
"01/31/2022","449.91","450.28","439.81","441.24","46.11",
"01/28/2022","441.95","442.00","427.82","432.68","37.89",
"01/27/2022","431.24","441.59","429.45","438.26","23.26",
"01/26/2022","433.38","444.04","428.86","440.72","24.32",
"01/25/2022","434.47","439.72","427.15","433.06","24.86",
"01/24/2022","439.84","440.38","420.76","432.03","27.66",
"01/21/2022","437.98","448.06","437.95","445.56","24.94",
"01/20/2022","446.75","458.74","444.50","453.75","29.84",
"01/19/2022","451.75","459.61","451.46","458.13","33.31",
"01/18/2022","456.49","459.96","455.31","459.74","37.10",
"01/17/2022","464.72","465.09","459.90","461.19","45.44",
"01/14/2022","464.72","465.09","459.90","461.19","45.44",
"01/13/2022","464.53","472.88","463.44","472.19","45.19",
"01/12/2022","471.02","473.20","468.94","471.59","52.71",
"01/11/2022","469.75","469.85","462.05","465.23","51.24",
"01/10/2022","465.51","465.74","456.60","462.70","46.02",
"01/07/2022","466.09","469.20","464.65","467.95","46.66",
"01/06/2022","467.94","470.82","465.43","467.89","48.64",
"01/05/2022","468.38","477.98","468.28","477.16","49.10",
"01/04/2022","477.55","479.98","475.58","479.22","60.13",
"01/03/2022","477.71","477.85","473.85","476.30","60.35",
"12/31/2021","474.96","476.86","474.67","475.64","57.89",
"12/30/2021","476.16","479.00","475.67","477.93","59.38",
"12/29/2021","477.48","478.56","475.92","476.98","60.98",
"12/28/2021","476.87","478.81","476.06","477.72","60.53",
"12/27/2021","477.26","477.31","472.01","472.06","60.95",
"12/24/2021","470.60","472.19","468.64","468.75","56.07",
"12/23/2021","470.60","472.19","468.64","468.75","56.07",
"12/22/2021","467.69","467.81","462.58","462.79","53.90",
"12/21/2021","463.06","463.21","456.31","458.61","50.28",
"12/20/2021","454.98","455.40","451.14","454.48","43.01",
"12/17/2021","459.87","464.74","458.06","461.55","46.86",
"12/16/2021","466.45","472.87","464.80","472.57","52.76",
"12/15/2021","470.60","470.86","460.74","463.42","56.96",
"12/14/2021","463.36","465.74","460.25","463.09","50.58",
"12/13/2021","466.57","470.56","466.27","470.19","53.87",
"12/10/2021","470.74","470.90","466.51","469.23","58.44",
"12/09/2021","466.35","469.63","466.14","468.15","54.68",
"12/08/2021","469.52","470.00","466.83","468.70","58.22",
